_id,title,year,vote_count,vote_average
664b369af5b7b67b6665c24a,Twister,1996,3086,6.487
664b369af5b7b67b6665c24b,Pan's Labyrinth,2006,10216,7.76
664b369af5b7b67b6665c24c,Heathers,1989,1605,7.3
664b369af5b7b67b6665c24d,The Circle,2017,4314,5.5
664b369af5b7b67b6665c24e,Jurassic World Dominion,2022,5766,6.715
664b369af5b7b67b6665c24f,Iron Man,2008,25743,7.6
664b369af5b7b67b6665c250,Deep Water,2022,1279,5.798
664b369af5b7b67b6665c251,Mission: Impossible - Dead Reckoning Part One,2023,3400,7.5
664b369af5b7b67b6665c252,The Dirt,2019,1187,7.461
664b369af5b7b67b6665c253,Crazy Rich Asians,2018,3513,7.066
664b369af5b7b67b6665c254,Inside Llewyn Davis,2013,2599,7.195
664b369af5b7b67b6665c255,Top Hat,1935,277,7.3
664b369af5b7b67b6665c256,Godzilla: King of the Monsters,2019,5916,6.698
664b369af5b7b67b6665c257,Coming to America,1988,4177,6.882
664b369af5b7b67b6665c258,Bound,1996,878,7.162
664b369af5b7b67b6665c259,Star Trek Beyond,2016,6448,6.785
664b369af5b7b67b6665c25a,Notting Hill,1999,5827,7.262
664b369af5b7b67b6665c25b,The Shawshank Redemption,1994,26180,8.705
664b369af5b7b67b6665c25c,Terminator: Dark Fate,2019,4884,6.454
664b369af5b7b67b6665c25d,Evil Dead,2013,4418,6.537
664b369af5b7b67b6665c25e,Boss Level,2021,1496,6.884
664b369af5b7b67b6665c25f,The Blair Witch Project,1999,4611,6.335
664b369af5b7b67b6665c260,Tusk,2014,1325,5.5
664b369af5b7b67b6665c261,Talk to Me,2023,2591,7.165
664b369af5b7b67b6665c262,Five Nights at Freddy's,2023,3623,7.639
664b369af5b7b67b6665c263,The Belko Experiment,2016,1383,6.17
664b369af5b7b67b6665c264,The Predator,2018,4460,5.63
664b369af5b7b67b6665c265,Black Adam,2022,5962,6.942
664b369af5b7b67b6665c266,Godzilla,2014,8839,6.329
664b369af5b7b67b6665c267,Galaxy Quest,1999,2132,7.061
664b369af5b7b67b6665c268,The Help,2011,7938,8.206
664b369af5b7b67b6665c269,Hellraiser,2022,740,6.203
664b369af5b7b67b6665c26a,Encanto,2021,9163,7.607
664b369af5b7b67b6665c26b,Mission: Impossible - Fallout,2018,7914,7.4
664b369af5b7b67b6665c26c,Captain America: Civil War,2016,22174,7.4
664b369af5b7b67b6665c26d,White Chicks,2004,3769,6.96
664b369af5b7b67b6665c26e,The Hunger Games: The Ballad of Songbirds & Snakes,2023,2177,7.164
664b369af5b7b67b6665c26f,The Founder,2016,4725,7.12
664b369af5b7b67b6665c270,Anna,2019,2588,6.713
664b369af5b7b67b6665c271,The Raffle,1991,137,6.715
664b369af5b7b67b6665c272,Harry Potter and the Prisoner of Azkaban,2004,20907,8.017
664b369af5b7b67b6665c273,IO,2019,1321,4.9
664b369af5b7b67b6665c274,Sixty Minutes,2024,484,6.807
664b369af5b7b67b6665c275,Zootopia,2016,15831,7.747
664b369af5b7b67b6665c276,The Post,2017,4434,7.003
664b369af5b7b67b6665c277,"Monsters, Inc.",2001,17905,7.8
664b369af5b7b67b6665c278,Jason X,2001,1283,4.841
664b369af5b7b67b6665c279,The OctoGames,2022,107,5.523
664b369af5b7b67b6665c27a,Meg 2: The Trench,2023,3125,6.57
664b369af5b7b67b6665c27b,War of the Worlds,2005,8093,6.509
664b369af5b7b67b6665c27c,Trolls Band Together,2023,760,7.346
664b369af5b7b67b6665c27d,North by Northwest,1959,3926,7.984
664b369af5b7b67b6665c27e,The Living Daylights,1987,1680,6.5
664b369af5b7b67b6665c27f,Harry Potter and the Goblet of Fire,2005,20087,7.815
664b369af5b7b67b6665c280,Apostle,2018,1363,6.103
664b369af5b7b67b6665c281,Pirates of the Caribbean: The Curse of the Black Pearl,2003,19990,7.8
664b369af5b7b67b6665c282,The Philadelphia Story,1940,816,7.6
664b369af5b7b67b6665c283,Alita: Battle Angel,2019,8840,7.231
664b369af5b7b67b6665c284,The Zone of Interest,2023,1279,7.212
664b369af5b7b67b6665c285,The Tomorrow War,2021,3203,7.552
664b369af5b7b67b6665c286,The Lord of the Rings: The Fellowship of the Ring,2001,24346,8.412
664b369af5b7b67b6665c287,Inland Empire,2006,1022,7.024
664b369af5b7b67b6665c288,Top Gun: Maverick,2022,8597,8.221
664b369af5b7b67b6665c289,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,10277,7.134
664b369af5b7b67b6665c28a,Coraline,2009,7512,7.869
664b369af5b7b67b6665c28b,Coco,2017,18785,8.2
664b369af5b7b67b6665c28c,Sausage Party,2016,7032,5.746
664b369af5b7b67b6665c28d,Black Hawk Down,2001,5509,7.375
664b369af5b7b67b6665c28e,Sing Street,2016,2206,7.874
664b369af5b7b67b6665c28f,The Godfather,1972,19852,8.695
664b369af5b7b67b6665c290,Alien³,1992,5340,6.358
664b369af5b7b67b6665c291,Okja,2017,4140,7.37
664b369af5b7b67b6665c292,Harry Potter and the Chamber of Secrets,2002,21304,7.72
664b369af5b7b67b6665c293,Guardians of the Galaxy Vol. 3,2023,6268,7.971
664b369af5b7b67b6665c294,Don't Look Up,2021,7841,7.1
664b369af5b7b67b6665c295,Sing 2,2021,4192,7.875
664b369af5b7b67b6665c296,Hidden Figures,2016,9376,8.06
664b369af5b7b67b6665c297,Leo,2023,1062,7.493
664b369af5b7b67b6665c298,1922,2017,2640,5.928
664b369af5b7b67b6665c299,Hellboy,2019,3283,5.558
664b369af5b7b67b6665c29a,Gattaca,1997,6094,7.556
664b369af5b7b67b6665c29b,Badland Hunters,2024,603,6.794
664b369af5b7b67b6665c29c,Shrek,2001,16555,7.741
664b369af5b7b67b6665c29d,Rogue,2020,664,5.586
664b369af5b7b67b6665c29e,Rebel Moon - Part One: A Child of Fire,2023,1826,6.372
664b369af5b7b67b6665c29f,It Comes at Night,2017,2273,5.851
664b369af5b7b67b6665c2a0,Sleepwalkers,1992,503,6.061
664b369af5b7b67b6665c2a1,Licence to Kill,1989,1833,6.4
664b369af5b7b67b6665c2a2,Samaritan,2022,1896,6.732
664b369af5b7b67b6665c2a3,The Guest,2014,1865,6.654
664b369af5b7b67b6665c2a4,Terminator 2: Judgment Day,1991,12374,8.115
664b369af5b7b67b6665c2a5,Scarface,1932,570,7.455
664b369af5b7b67b6665c2a6,Men in Black,1997,13356,7.194
664b369af5b7b67b6665c2a7,Friday the 13th,1980,2777,6.39
